,Flood,Rain,KilledPerDay,ExposedPerDay
2000-09-01,0,16.8,0.0,0.0
2000-09-02,0,8.700000000000001,0.0,0.0
2000-09-03,0,11.9,0.0,0.0
2000-09-04,0,7.8999999999999995,0.0,0.0
2000-09-05,0,4.1,0.0,0.0
2000-09-06,0,9.7,0.0,0.0
2000-09-07,0,10.9,0.0,0.0
2000-09-08,0,14.5,0.0,0.0
2000-09-09,0,7.0,0.0,0.0
2000-09-10,0,6.3999999999999995,0.0,0.0
2000-09-11,0,4.4,0.0,0.0
2000-09-12,0,6.0,0.0,0.0
2000-09-13,0,24.1,0.0,0.0
2000-09-14,0,10.1,0.0,0.0
2000-09-15,0,9.7,0.0,0.0
2000-09-16,0,3.7,0.0,0.0
2000-09-17,0,9.5,0.0,0.0
2000-09-18,1,33.1,282.6689936009308,1440632.1535776616
2000-09-19,1,19.2,163.9650959860384,835653.6963350786
2000-09-20,1,13.700000000000001,116.99592786503783,596273.7312390925
2000-09-21,1,6.1,52.09307737056428,265494.14310645725
2000-09-22,1,1.8,15.3717277486911,78342.53403141361
2000-09-23,1,17.3,147.73938336242003,752958.7993019198
2000-09-24,1,5.9,50.38510762070972,256789.41710296687
2000-09-25,1,7.8,66.6108202443281,339484.3141361257
2000-09-26,1,0.8,6.831878999418267,34818.904013961605
2000-09-27,1,0.0,0.0,0.0
2000-09-28,1,0.0,0.0,0.0
2000-09-29,1,0.0,0.0,0.0
2000-09-30,1,0.2,1.7079697498545667,8704.726003490401
2000-10-01,1,18.9,161.40314136125653,822596.6073298429
2000-10-02,1,3.9,33.30541012216405,169742.15706806284
2000-10-03,1,1.2999999999999998,11.10180337405468,56580.719022687605
2000-10-04,1,1.7,14.517742873763815,73990.17102966842
2000-10-05,1,1.8,15.3717277486911,78342.53403141361
2000-10-06,1,0.9,7.68586387434555,39171.267015706806
2000-10-07,1,4.1,35.01337987201861,178446.88307155322
2000-10-08,1,4.8,40.9912739965096,208913.42408376964
2000-10-09,1,2.3,19.641652123327514,100104.34904013961
2000-10-10,1,2.9,24.765561372891217,126218.52705061082
2000-10-11,1,0.7,5.977894124490983,30466.541012216403
2000-10-12,1,0.8,6.831878999418267,34818.904013961605
2000-10-13,1,0.7,5.977894124490983,30466.541012216403
2000-10-14,1,0.1,0.8539848749272834,4352.363001745201
2000-10-15,1,0.9,7.68586387434555,39171.267015706806
2000-10-16,1,5.2,44.40721349621874,226322.87609075045
2000-10-17,1,12.8,109.31006399069227,557102.4642233857
2000-10-18,1,0.39999999999999997,3.415939499709133,17409.452006980802
2000-10-19,1,0.2,1.7079697498545667,8704.726003490401
